Filename,TF-IDF Score,Deep Learning Score
22355_bigquery.docx,2.01%,12.04%
NNDL_proposal.docx,5.58%,32.50%
POPL_22355.docx,2.40%,15.51%
midterm_set2_355.docx,1.74%,25.68%
midterm_set2_355.docx,1.74%,25.68%
midterm_set2_355.docx,1.74%,25.68%
midterm_set2_355.docx,1.74%,25.68%
19CSE311_CaseStudy1_Group_1111.docx,6.36%,32.50%
22355_bigquery.docx,2.30%,16.75%
ss.docx,95.08%,96.63%
19CSE311_CaseStudy1_Group_1111.docx,6.45%,32.50%
19CSE311_CaseStudy1_Group_1111.docx,6.45%,32.50%
19CSE311_CaseStudy1_Group_1111.docx,6.45%,32.50%
19CSE311_CaseStudy1_Group_1111.docx,6.45%,32.50%
ss.docx,95.08%,96.63%
Lab_Practive_IV.docx,3.17%,28.62%
22355_bigquery.docx,2.30%,16.75%
Indian_Currency_Notes_Classifier.docx,76.93%,100.00%
cc_355.docx,2.49%,25.83%
cc_355.docx,2.49%,25.83%
